token_id,freq,primary_lang,tier,concentration,mse,rel_err,row_norm
28422,1,spa_Latn,high,1.0,7.83615e-06,0.0928129,1.36492
227159,1,spa_Latn,high,1.0,4.68071e-06,0.0928394,1.0546
70378,1,spa_Latn,high,1.0,1.44404e-05,0.0988733,1.7393
236189,1,spa_Latn,high,1.0,3.27606e-06,0.0896182,0.913997
66862,1,spa_Latn,high,1.0,4.88539e-06,0.0952561,1.05008
75759,1,spa_Latn,high,1.0,3.87119e-06,0.093068,0.956725
174122,1,spa_Latn,high,1.0,6.21769e-06,0.0909029,1.24137
182956,1,spa_Latn,high,1.0,3.63126e-06,0.0935643,0.921688
235503,1,spa_Latn,high,1.0,5.40841e-06,0.0936292,1.12406
80116,1,spa_Latn,high,1.0,3.89111e-06,0.0910979,0.979926
174949,1,spa_Latn,high,1.0,4.62749e-06,0.0903681,1.07726
10634,1,spa_Latn,high,1.0,2.0893e-05,0.106178,1.94819
67626,1,spa_Latn,high,1.0,4.54909e-06,0.0949469,1.01659
206696,1,spa_Latn,high,1.0,6.26902e-06,0.0930033,1.21833
100432,1,spa_Latn,high,1.0,4.4343e-06,0.0924226,1.0311
111522,1,spa_Latn,high,1.0,4.43885e-06,0.0955063,0.998317
143841,1,spa_Latn,high,1.0,4.21481e-06,0.0902537,1.02941
205482,1,spa_Latn,high,1.0,7.04716e-06,0.092224,1.30265
130997,1,spa_Latn,high,1.0,2.94742e-06,0.0885812,0.87709
73,1,spa_Latn,high,1.0,4.07279e-05,0.0986004,2.92909
53563,1,spa_Latn,high,1.0,1.04738e-05,0.0928477,1.57742
36729,1,spa_Latn,high,1.0,1.29974e-05,0.10198,1.59985
49687,1,spa_Latn,high,1.0,7.24962e-06,0.0953683,1.27767
44077,1,spa_Latn,high,1.0,1.13095e-05,0.0918946,1.65614
9192,1,spa_Latn,high,1.0,1.40567e-05,0.0970911,1.74754
70279,1,spa_Latn,high,1.0,7.51554e-06,0.0906167,1.36911
184857,1,spa_Latn,high,1.0,3.80212e-06,0.0925704,0.953248
230445,1,spa_Latn,high,1.0,6.60811e-06,0.0932144,1.24802
85071,1,spa_Latn,high,1.0,4.83604e-06,0.0937141,1.06195
16505,1,spa_Latn,high,1.0,2.09366e-05,0.109226,1.89579
2466,1,spa_Latn,high,1.0,2.99757e-05,0.101654,2.4374
161143,1,spa_Latn,high,1.0,7.45829e-06,0.0939102,1.31605
196721,1,spa_Latn,high,1.0,6.00861e-06,0.0943629,1.17558
197180,1,spa_Latn,high,1.0,3.52081e-06,0.0932546,0.910575
26446,1,spa_Latn,high,1.0,1.97745e-05,0.09943,2.02395
49146,1,spa_Latn,high,1.0,5.2944e-06,0.0938972,1.10897
140716,1,spa_Latn,high,1.0,4.79915e-06,0.0920551,1.07696
11302,1,spa_Latn,high,1.0,1.64296e-05,0.0963735,1.90336
191777,1,spa_Latn,high,1.0,4.3497e-06,0.0884376,1.06723
95217,1,spa_Latn,high,1.0,6.54807e-06,0.0901688,1.2843
217466,1,spa_Latn,high,1.0,4.20178e-06,0.0905872,1.02403
70407,1,spa_Latn,high,1.0,6.25854e-06,0.0889609,1.27263
115922,1,spa_Latn,high,1.0,4.92368e-06,0.0898449,1.11768
249498,1,spa_Latn,high,1.0,4.71607e-06,0.0905728,1.08507
64266,1,spa_Latn,high,1.0,7.30153e-06,0.0920575,1.32835
50808,1,spa_Latn,high,1.0,5.39189e-06,0.0945532,1.11137
102197,1,spa_Latn,high,1.0,5.02215e-06,0.0916734,1.10628
182936,1,spa_Latn,high,1.0,5.57099e-06,0.101569,1.05164
4866,1,spa_Latn,high,1.0,2.55731e-05,0.094862,2.41248
218761,1,spa_Latn,high,1.0,5.68332e-06,0.0898568,1.20065
121654,1,spa_Latn,high,1.0,6.08468e-06,0.0918287,1.21564
178627,1,spa_Latn,high,1.0,5.41486e-06,0.0906973,1.16109
67727,1,spa_Latn,high,1.0,4.50215e-06,0.0947221,1.01373
217464,1,spa_Latn,high,1.0,3.55429e-06,0.0948909,0.899117
13829,1,spa_Latn,high,1.0,1.94208e-05,0.0939343,2.12312
151710,1,spa_Latn,high,1.0,3.509e-06,0.0877463,0.966113
10096,1,spa_Latn,high,1.0,1.55134e-05,0.0940673,1.89487
99149,1,spa_Latn,high,1.0,5.42389e-06,0.0892169,1.18134
42375,1,spa_Latn,high,1.0,4.54261e-06,0.093349,1.03326
97394,1,spa_Latn,high,1.0,5.08495e-06,0.0931449,1.09559
60325,1,spa_Latn,high,1.0,3.85203e-06,0.0905664,0.980714
42417,1,spa_Latn,high,1.0,7.04747e-06,0.0926382,1.29686
245262,1,spa_Latn,high,1.0,3.52617e-06,0.0944568,0.89967
2645,1,spa_Latn,high,1.0,3.85381e-05,0.100939,2.78324
67136,1,spa_Latn,high,1.0,8.99222e-06,0.0932373,1.45549
80192,1,spa_Latn,high,1.0,4.09322e-06,0.0905886,1.0107
101219,1,spa_Latn,high,1.0,5.0548e-06,0.094372,1.07814
25343,1,spa_Latn,high,1.0,1.24783e-05,0.0946901,1.68825
