tensor,layer,kind,rel_err
model.layers.30.self_attn.o_proj.weight,30,o_proj,0.09166
model.layers.28.mlp.up_proj.weight,28,up_proj,0.092104
model.layers.29.self_attn.q_proj.weight,29,q_proj,0.092997
model.layers.30.mlp.down_proj.weight,30,down_proj,0.091627
model.layers.35.self_attn.o_proj.weight,35,o_proj,0.091919
model.layers.31.self_attn.o_proj.weight,31,o_proj,0.09133
model.layers.35.self_attn.v_proj.weight,35,v_proj,0.10053
model.layers.30.mlp.gate_proj.weight,30,gate_proj,0.091896
model.layers.34.self_attn.q_proj.weight,34,q_proj,0.093447
model.layers.29.mlp.gate_proj.weight,29,gate_proj,0.091838
model.layers.29.mlp.up_proj.weight,29,up_proj,0.091868
model.layers.28.self_attn.o_proj.weight,28,o_proj,0.091391
model.layers.29.self_attn.v_proj.weight,29,v_proj,0.113928
model.layers.29.self_attn.k_proj.weight,29,k_proj,0.106992
model.layers.35.self_attn.k_proj.weight,35,k_proj,0.098344
model.layers.30.self_attn.v_proj.weight,30,v_proj,0.102789
model.layers.29.self_attn.o_proj.weight,29,o_proj,0.091367
model.layers.32.self_attn.o_proj.weight,32,o_proj,0.091101
model.layers.32.self_attn.q_proj.weight,32,q_proj,0.094205
model.layers.32.mlp.gate_proj.weight,32,gate_proj,0.092132
model.layers.35.self_attn.q_proj.weight,35,q_proj,0.091764
model.layers.28.self_attn.v_proj.weight,28,v_proj,0.121085
model.layers.29.mlp.down_proj.weight,29,down_proj,0.091758
model.layers.33.mlp.up_proj.weight,33,up_proj,0.091549
model.layers.33.self_attn.o_proj.weight,33,o_proj,0.091515
model.layers.28.self_attn.q_proj.weight,28,q_proj,0.094003
model.layers.28.mlp.down_proj.weight,28,down_proj,0.092169
model.layers.31.self_attn.k_proj.weight,31,k_proj,0.111165
model.layers.32.mlp.up_proj.weight,32,up_proj,0.091781
model.layers.28.self_attn.k_proj.weight,28,k_proj,0.107534
model.layers.33.self_attn.k_proj.weight,33,k_proj,0.096556
model.layers.33.mlp.down_proj.weight,33,down_proj,0.091707
model.layers.31.mlp.down_proj.weight,31,down_proj,0.091697
model.layers.28.mlp.gate_proj.weight,28,gate_proj,0.092037
model.layers.31.mlp.gate_proj.weight,31,gate_proj,0.092289
